Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Sleep_Hours,Motivation_Level,Teacher_Quality,School_Type,Internet_Access,Family_Income,Parental_Involvement,Parental_Education_Level,Distance_from_Home,Physical_Activity,Peer_Influence,Access_to_Resources,Extracurricular_Activities,Health,Study_Environment,Exam_Score
4,98,59,4,8,Low,Poor,Private,No,Medium,Medium,Postgraduate,18.0,4,Negative,Medium,No,5,Good,75
1,80,49,4,4,Medium,Poor,Private,No,High,Medium,Postgraduate,14.0,1,Negative,High,Yes,2,Poor,55
11,87,45,2,8,High,Average,Private,Yes,Medium,Medium,Graduate,18.0,3,Neutral,High,No,3,Good,77
7,41,96,0,7,Medium,Poor,Public,Yes,Medium,Low,Postgraduate,,3,Negative,High,Yes,1,Poor,76
1,77,78,3,6,High,Poor,Private,Yes,Medium,High,Graduate,15.0,4,Negative,High,Yes,2,Good,73
11,71,87,1,7,High,Good,Private,No,Medium,Medium,School,,5,Negative,High,Yes,3,Average,95
4,93,73,1,3,High,Good,Public,Yes,Low,Medium,Postgraduate,11.0,1,Positive,High,No,5,Average,85
8,79,54,0,6,Medium,,Private,No,Medium,Low,,26.0,2,Negative,Medium,No,2,Good,69
2,97,52,0,5,Low,Average,Private,Yes,High,Medium,Postgraduate,5.0,5,Positive,High,Yes,2,Good,68
6,67,88,2,4,High,Average,Public,Yes,Low,Low,School,16.0,5,Positive,High,Yes,2,Good,81
6,76,30,1,7,Medium,Average,Public,No,High,Medium,Graduate,8.0,6,Neutral,High,Yes,4,Good,58
9,80,44,3,6,High,,Private,No,Low,High,Postgraduate,13.0,4,Positive,Medium,No,4,Good,78
5,40,81,0,8,Low,Poor,Public,Yes,Low,Medium,Graduate,26.0,4,Negative,Low,Yes,5,Average,67
10,80,87,0,6,High,,Public,Yes,Medium,Low,School,22.0,0,Positive,Low,Yes,3,Good,90
4,49,70,0,7,Medium,Average,Private,No,Medium,Medium,Graduate,,5,Neutral,High,No,2,Poor,61
5,94,73,3,5,High,Good,Private,No,High,Low,Postgraduate,17.0,5,Neutral,Medium,Yes,1,Poor,83
10,43,33,1,7,Medium,Average,Private,Yes,Low,Low,Graduate,26.0,6,Negative,Medium,No,1,Average,54
11,74,97,3,5,Low,,Private,Yes,Low,Low,Graduate,9.0,2,Positive,Low,Yes,1,Good,95
5,49,36,3,8,Low,Average,Private,No,Medium,High,School,15.0,2,Positive,Low,No,4,Average,46
8,86,75,2,7,High,Average,Private,Yes,Low,High,School,7.0,3,Neutral,Medium,Yes,5,Average,88
10,50,38,0,6,Low,Poor,Public,Yes,Medium,Medium,Postgraduate,27.0,0,Neutral,High,No,2,Good,57
8,53,62,1,3,Medium,Average,Private,No,Medium,Low,School,,5,Neutral,Medium,No,5,Poor,63
2,77,62,2,3,High,Good,Public,Yes,High,High,Graduate,14.0,2,Neutral,Low,No,4,Poor,68
7,51,33,2,8,Medium,Poor,Public,No,Medium,Low,School,8.0,5,Neutral,Medium,No,2,Good,56
8,84,94,4,9,High,Good,Private,No,Medium,Medium,Postgraduate,2.0,2,Positive,High,Yes,2,Good,95
11,56,63,0,9,Medium,Average,Public,Yes,Low,Low,,,6,Positive,High,No,5,Good,73
6,55,93,1,6,High,Poor,Private,No,High,High,Postgraduate,4.0,3,Positive,Low,Yes,1,Good,79
5,74,54,1,3,Medium,,Public,No,High,High,Postgraduate,24.0,0,Negative,Medium,No,1,Good,64
11,41,84,1,8,Medium,Average,Public,No,High,Low,Graduate,,0,Negative,Medium,Yes,3,Poor,81
9,50,38,0,5,High,Good,Public,Yes,Medium,Low,Graduate,2.0,1,Negative,High,No,3,Average,60
3,80,46,1,6,Medium,Average,Public,Yes,High,Low,Graduate,10.0,5,Positive,Medium,Yes,5,Average,62
10,42,50,3,9,Low,Good,Public,Yes,Medium,Low,Postgraduate,6.0,6,Positive,High,Yes,2,Poor,67
4,68,89,3,5,Medium,Average,Public,No,Medium,Low,School,11.0,4,Negative,High,Yes,4,Good,75
9,57,42,0,6,High,Good,Private,No,Medium,Low,,27.0,1,Positive,Medium,Yes,4,Good,64
6,59,32,1,5,Low,Poor,Public,Yes,Medium,Medium,Postgraduate,20.0,0,Neutral,Low,No,3,Average,48
8,86,97,4,5,Low,Average,Private,Yes,High,Medium,Postgraduate,,5,Negative,Medium,Yes,3,Good,91
7,53,33,4,3,Medium,Average,Private,No,High,High,School,29.0,3,Positive,Medium,No,4,Average,50
11,73,36,4,6,Medium,Good,Public,Yes,Low,Low,School,17.0,1,Neutral,Low,Yes,1,Poor,68
2,88,55,3,7,Medium,Average,Public,No,High,Medium,Postgraduate,24.0,3,Negative,Medium,No,5,Poor,62
3,93,53,4,3,Low,Poor,Public,Yes,Low,Low,School,,0,Positive,High,No,3,Average,64
1,70,39,1,5,Low,Good,Private,Yes,High,High,School,6.0,5,Positive,Medium,No,3,Good,54
9,97,42,1,5,Low,Good,Public,Yes,High,Medium,Postgraduate,16.0,3,Neutral,High,Yes,4,Average,75
7,79,73,4,9,High,Good,Private,Yes,High,Low,Postgraduate,10.0,1,Negative,Low,No,1,Average,86
1,81,68,2,7,High,,Public,No,Medium,Low,,23.0,0,Positive,Medium,Yes,4,Poor,71
3,97,48,4,9,Medium,Poor,Public,Yes,High,Low,,28.0,0,Neutral,Medium,No,3,Average,67
4,57,80,2,7,High,Average,Private,No,High,Low,School,29.0,1,Positive,Low,Yes,4,Poor,73
4,69,48,0,5,High,Good,Public,No,Low,Low,Postgraduate,19.0,5,Positive,Low,Yes,5,Poor,65
5,64,81,0,7,Medium,Poor,Private,Yes,High,Low,,25.0,4,Negative,High,Yes,3,Poor,65
3,58,76,1,4,Medium,Average,Public,No,Medium,High,Postgraduate,4.0,1,Negative,Low,Yes,3,Average,62
3,47,59,3,9,Low,Poor,Public,No,High,Low,School,27.0,1,Positive,High,No,3,Average,52
1,67,75,1,9,Low,Poor,Public,Yes,Low,Low,School,2.0,5,Positive,Low,No,3,Good,69
7,47,50,1,3,Medium,Poor,Public,Yes,High,Medium,Postgraduate,20.0,2,Negative,High,Yes,3,Good,53
11,70,77,3,6,Medium,Average,Public,Yes,High,Low,Graduate,,0,Positive,Low,Yes,2,Poor,79
10,42,91,1,9,High,,Private,Yes,Low,Low,Graduate,12.0,2,Positive,High,Yes,2,Good,85
1,42,87,3,7,High,Poor,Private,Yes,High,Medium,Postgraduate,4.0,2,Positive,High,Yes,4,Good,64
2,83,47,1,7,High,Poor,Private,Yes,Low,Medium,School,16.0,2,Neutral,Medium,Yes,2,Poor,63
4,61,88,0,4,Medium,Good,Private,No,Low,Low,School,2.0,3,Neutral,High,No,3,Poor,74
4,56,77,2,6,Medium,Poor,Private,No,Medium,High,School,16.0,6,Negative,Medium,No,3,Average,70
5,75,92,1,4,Low,,Public,Yes,Medium,Medium,Postgraduate,28.0,1,Positive,Medium,No,3,Poor,77
11,56,41,2,6,High,Poor,Public,No,Low,Medium,Graduate,,2,Positive,Low,No,2,Good,67
2,53,63,4,9,Low,Good,Public,No,Medium,Low,Postgraduate,14.0,3,Neutral,Medium,No,2,Good,61
4,90,90,1,9,Medium,Poor,Public,No,Medium,Medium,Graduate,11.0,3,Negative,High,No,1,Good,86
1,48,82,0,3,High,Good,Public,Yes,Low,Low,Graduate,,6,Negative,Low,Yes,3,Average,67
2,69,54,3,7,Low,Good,Private,Yes,High,High,,24.0,0,Positive,High,Yes,1,Good,65
1,60,91,0,3,Medium,Good,Private,Yes,High,High,Graduate,6.0,1,Positive,Medium,No,1,Average,71
10,51,33,2,6,Low,Poor,Private,Yes,High,Low,Graduate,24.0,5,Neutral,Medium,Yes,1,Good,62
10,76,42,3,7,High,,Private,No,Medium,High,,27.0,4,Neutral,Medium,No,3,Average,76
4,71,71,0,9,Low,Good,Private,Yes,Medium,Low,School,,1,Negative,Medium,Yes,2,Good,79
4,50,78,0,4,Low,Good,Public,Yes,High,Medium,Postgraduate,,3,Neutral,High,Yes,3,Average,61
7,59,85,0,9,Medium,Good,Public,Yes,Low,Medium,School,25.0,1,Neutral,High,Yes,2,Good,79
10,74,76,3,9,High,Good,Public,No,Low,Low,Postgraduate,28.0,0,Negative,Low,No,3,Poor,93
11,92,37,0,5,Low,Good,Public,No,Low,Low,,11.0,1,Negative,Low,Yes,5,Poor,74
11,86,84,0,4,Medium,Average,Private,No,Medium,Medium,Graduate,14.0,6,Negative,High,Yes,5,Average,89
9,85,47,2,5,High,,Private,Yes,High,Low,School,,3,Positive,High,No,3,Average,79
9,50,64,0,4,Medium,Average,Public,Yes,Low,Medium,School,24.0,6,Positive,Medium,Yes,3,Good,67
5,91,61,0,6,High,Poor,Public,No,High,Low,Postgraduate,16.0,3,Neutral,Medium,No,3,Average,75
10,47,53,4,3,Medium,Average,Public,No,High,Medium,Postgraduate,4.0,2,Neutral,Low,Yes,5,Average,61
1,43,36,3,5,Medium,Poor,Public,No,Medium,High,School,,3,Neutral,Low,No,3,Average,40
1,66,42,4,6,Medium,,Public,Yes,Low,High,Postgraduate,16.0,0,Positive,Low,No,4,Good,51
6,83,98,2,3,Low,Poor,Public,Yes,Medium,Medium,Graduate,15.0,3,Positive,High,Yes,4,Good,87
2,79,71,4,3,Low,Poor,Private,No,High,Medium,Graduate,2.0,1,Negative,Low,No,4,Poor,64
8,77,60,1,7,Medium,Good,Private,No,High,Medium,,13.0,5,Negative,High,Yes,3,Poor,76
9,86,55,3,9,High,Good,Private,No,High,Medium,Postgraduate,17.0,5,Positive,High,No,1,Good,83
4,69,61,0,7,Medium,Poor,Private,Yes,Low,Medium,,,5,Positive,Low,Yes,1,Poor,67
5,83,81,4,9,Low,Poor,Public,Yes,Low,High,School,20.0,4,Positive,High,Yes,2,Poor,82
11,87,49,4,7,High,Good,Public,No,Low,Medium,Postgraduate,10.0,3,Neutral,High,No,4,Average,83
8,87,69,0,5,Low,Average,Public,No,High,Low,School,15.0,5,Negative,Low,Yes,5,Poor,82
3,66,88,0,5,Medium,Good,Public,Yes,High,High,,17.0,0,Neutral,Low,No,4,Good,73
5,60,43,2,9,Low,Poor,Private,No,Low,Medium,Postgraduate,,6,Negative,Low,Yes,4,Good,56
3,91,73,4,3,Low,Poor,Public,Yes,High,Low,School,2.0,0,Positive,Low,No,2,Average,69
10,59,77,4,5,Low,Poor,Public,Yes,High,High,Graduate,24.0,5,Neutral,Medium,No,4,Poor,71
3,99,72,1,3,Medium,Good,Private,No,High,Low,Postgraduate,26.0,0,Negative,Medium,Yes,1,Poor,76
3,43,45,1,6,Low,,Public,Yes,Low,Medium,School,1.0,5,Neutral,Medium,No,5,Good,49
7,50,64,4,4,Medium,Average,Private,Yes,Medium,Low,Postgraduate,23.0,0,Positive,Low,No,1,Poor,61
7,52,82,1,3,Medium,Poor,Public,Yes,Medium,Low,,23.0,1,Negative,Medium,Yes,4,Average,75
7,48,63,4,3,Low,Poor,Private,Yes,Medium,High,Postgraduate,5.0,2,Positive,Low,No,3,Average,58
10,43,32,3,6,High,Good,Private,Yes,Low,Low,Postgraduate,,6,Negative,Medium,Yes,5,Poor,56
8,51,97,2,9,Low,Poor,Public,Yes,High,Low,Postgraduate,22.0,4,Neutral,High,Yes,5,Average,79
5,48,34,1,7,Low,Average,Public,No,Medium,High,,11.0,6,Negative,Low,Yes,2,Poor,44
5,52,39,4,8,Low,Good,Private,Yes,Medium,Medium,Postgraduate,16.0,5,Neutral,Medium,Yes,2,Average,52
4,87,81,1,9,High,,Public,Yes,Low,Low,School,21.0,6,Positive,Medium,No,5,Poor,89
7,65,58,2,7,High,Good,Private,Yes,High,Medium,School,9.0,2,Positive,Low,No,5,Good,76
10,77,60,3,7,Medium,Good,Public,Yes,High,High,Graduate,4.0,2,Negative,High,No,1,Average,79
4,81,95,0,9,High,Average,Private,Yes,Low,Medium,School,9.0,2,Positive,Medium,No,4,Average,93
2,52,98,0,9,High,Good,Public,No,Medium,Low,School,14.0,1,Negative,Low,No,5,Average,83
4,78,66,1,3,Low,Poor,Private,Yes,High,Low,Graduate,,6,Neutral,Medium,Yes,3,Poor,62
8,67,56,4,3,Medium,Average,Private,Yes,High,Medium,Postgraduate,22.0,6,Negative,High,No,4,Good,69
9,97,62,2,5,Medium,,Public,No,Medium,Medium,,16.0,4,Negative,Low,Yes,5,Poor,80
3,58,97,3,5,High,Poor,Public,Yes,Low,Low,Postgraduate,9.0,3,Negative,Medium,Yes,2,Poor,78
7,63,88,3,4,High,Good,Private,No,Medium,High,Postgraduate,3.0,3,Positive,Medium,No,2,Poor,81
9,58,93,3,4,Low,Good,Private,No,High,Low,,28.0,5,Neutral,Low,Yes,2,Average,84
11,88,73,0,8,High,Average,Private,Yes,Low,Low,Postgraduate,29.0,4,Negative,High,No,3,Poor,95
4,52,78,2,9,High,Average,Public,No,Medium,Medium,Graduate,1.0,4,Neutral,Medium,Yes,1,Average,74
10,52,82,0,5,Medium,Average,Private,No,Medium,Low,Graduate,28.0,0,Positive,High,No,4,Poor,77
3,97,78,1,9,High,Average,Private,Yes,Low,Medium,Postgraduate,22.0,6,Negative,Low,No,1,Average,84
5,67,95,3,3,Low,Poor,Public,Yes,High,High,Graduate,20.0,2,Negative,Medium,No,1,Good,75
1,92,92,2,6,Medium,Good,Private,No,Low,Low,Graduate,,0,Neutral,Medium,No,1,Average,82
3,41,54,3,5,Medium,Average,Public,No,Low,High,School,26.0,1,Neutral,High,Yes,2,Average,51
8,49,33,0,3,High,Poor,Private,Yes,High,High,School,20.0,1,Neutral,High,Yes,4,Good,49
11,61,80,0,9,Low,Average,Public,Yes,Medium,Low,School,20.0,4,Negative,High,Yes,2,Poor,83
8,52,40,0,5,Medium,,Public,Yes,Low,Medium,Postgraduate,1.0,1,Negative,Low,No,1,Average,58
4,97,46,3,7,Low,Average,Public,Yes,Low,Medium,,5.0,4,Neutral,High,Yes,5,Average,68
2,48,95,2,5,Low,Good,Public,Yes,Medium,Low,Graduate,9.0,6,Neutral,Medium,Yes,3,Average,72
8,72,99,2,9,High,Good,Public,No,High,Medium,School,3.0,3,Neutral,Low,Yes,3,Good,95
8,53,98,1,9,Low,Poor,Public,No,Medium,Medium,Graduate,12.0,2,Positive,Low,No,1,Average,82
10,87,58,3,8,Medium,Average,Private,No,Medium,High,School,18.0,6,Negative,Low,Yes,2,Average,84
4,59,49,1,9,High,Average,Public,No,Low,Medium,,28.0,1,Neutral,Medium,Yes,4,Good,59
3,54,56,1,7,Medium,Good,Private,Yes,Low,Medium,School,2.0,0,Positive,High,No,2,Poor,59
2,71,37,1,3,Low,Average,Public,No,High,Low,,10.0,1,Negative,Low,Yes,4,Good,45
9,72,90,1,7,Low,Good,Public,No,Low,High,School,7.0,5,Positive,Low,No,5,Poor,88
1,56,57,0,5,High,Poor,Private,No,Medium,Medium,School,22.0,2,Neutral,Medium,Yes,4,Good,57
7,63,99,1,7,High,Average,Public,Yes,Medium,Low,Graduate,18.0,1,Positive,Medium,Yes,4,Average,89
5,69,32,2,8,Medium,Good,Private,Yes,High,Medium,School,16.0,4,Positive,High,Yes,5,Good,57
8,52,98,1,6,Medium,Average,Private,Yes,Low,High,Postgraduate,,1,Neutral,High,No,3,Poor,83
4,98,36,0,7,Low,Average,Private,Yes,Low,High,School,1.0,3,Neutral,High,No,4,Poor,68
7,86,89,4,9,High,Poor,Public,No,High,High,School,7.0,6,Negative,Medium,Yes,5,Poor,92
5,87,33,4,8,Low,Good,Private,No,High,High,Postgraduate,11.0,3,Positive,Low,No,4,Average,65
5,55,34,4,7,Low,Poor,Private,No,Low,High,Graduate,6.0,1,Neutral,Low,No,2,Good,46
9,41,40,3,4,Medium,Poor,Private,No,High,High,Postgraduate,21.0,0,Neutral,Medium,No,5,Average,47
9,56,44,2,6,Medium,Poor,Public,No,Medium,Low,Graduate,5.0,1,Neutral,High,No,1,Average,60
9,71,93,0,3,Medium,Good,Public,No,High,High,Postgraduate,10.0,4,Negative,Low,No,4,Poor,84
6,82,42,4,9,High,Good,Public,No,Medium,Medium,,,4,Positive,Low,Yes,4,Poor,71
6,47,36,0,8,Medium,,Public,No,Medium,Medium,Postgraduate,3.0,6,Neutral,Medium,Yes,2,Good,53
5,91,35,0,7,High,Good,Public,Yes,Medium,Medium,Graduate,27.0,6,Positive,High,No,2,Poor,67
9,42,85,3,6,Low,Poor,Private,No,Low,Medium,School,15.0,6,Neutral,Low,No,1,Poor,75
10,51,93,4,3,High,Good,Private,No,Medium,High,School,12.0,6,Neutral,High,No,5,Average,84
8,59,79,1,6,Medium,Average,Private,Yes,High,High,,5.0,6,Positive,Medium,No,1,Good,80
7,55,59,0,8,High,Poor,Private,No,Medium,Low,,14.0,4,Positive,Medium,Yes,1,Poor,68
7,53,51,4,4,High,Average,Public,No,Low,High,Graduate,12.0,0,Negative,High,Yes,3,Poor,57
6,55,54,0,8,Medium,,Public,Yes,Low,Medium,School,,3,Negative,Low,Yes,1,Average,64
5,98,57,3,8,Medium,Average,Public,Yes,Low,Low,Graduate,11.0,4,Positive,Low,No,4,Poor,69
4,92,68,3,3,Low,Average,Public,No,Low,Low,,23.0,4,Neutral,Low,Yes,1,Poor,65
3,88,96,1,3,High,Good,Private,Yes,High,Low,Postgraduate,23.0,1,Negative,High,No,2,Good,88
3,82,34,3,7,Low,,Private,Yes,Low,Low,Graduate,13.0,3,Positive,High,Yes,2,Average,56
6,88,94,4,5,Low,Good,Private,Yes,High,High,Graduate,10.0,4,Negative,Low,No,4,Average,89
4,90,44,3,8,High,Poor,Public,Yes,Low,Low,Postgraduate,10.0,6,Positive,Medium,Yes,3,Poor,69
6,93,96,1,3,Low,Average,Private,No,Low,High,,24.0,4,Neutral,Medium,No,1,Average,88
3,72,69,2,8,High,,Private,Yes,High,Low,School,21.0,1,Negative,Low,Yes,5,Average,73
4,69,98,0,8,Low,Good,Public,Yes,Medium,High,Graduate,14.0,1,Negative,High,Yes,2,Good,88
9,98,72,0,3,Low,Good,Public,No,High,High,Postgraduate,20.0,2,Negative,Low,No,4,Average,90
5,51,30,4,4,High,Average,Private,Yes,Medium,Medium,School,16.0,1,Negative,Medium,Yes,5,Good,46
7,54,51,1,4,Medium,Average,Public,Yes,High,High,,12.0,1,Positive,Medium,No,1,Good,54
10,57,91,1,8,High,Good,Private,Yes,Medium,Low,School,23.0,2,Positive,Medium,Yes,1,Poor,90
2,67,55,1,4,Medium,,Private,No,Low,Low,Graduate,18.0,4,Negative,Low,Yes,1,Average,55
5,62,47,0,8,High,Poor,Private,Yes,Medium,High,,24.0,5,Neutral,Low,No,5,Poor,63
9,53,77,3,7,High,Poor,Private,Yes,Medium,High,Postgraduate,,1,Positive,Medium,No,1,Average,80
11,69,38,0,3,Medium,Average,Private,Yes,Low,High,Postgraduate,10.0,0,Positive,Medium,No,3,Average,66
3,72,30,0,8,Medium,Average,Public,Yes,Low,High,School,1.0,2,Neutral,Medium,No,5,Average,50
9,84,38,0,4,High,Average,Public,Yes,Medium,Medium,Postgraduate,18.0,5,Negative,Medium,No,2,Good,72
11,54,52,3,4,High,Average,Public,Yes,Medium,Medium,School,15.0,5,Negative,High,No,3,Average,65
6,46,74,2,6,High,Average,Private,No,High,Medium,School,17.0,2,Positive,Low,Yes,4,Average,65
4,54,31,4,6,Medium,Average,Private,Yes,Low,Medium,,21.0,5,Neutral,High,No,1,Good,48
7,91,43,2,9,High,Average,Public,No,Low,Medium,Graduate,,4,Neutral,Medium,Yes,4,Poor,74
8,81,67,2,4,Medium,Average,Public,No,Low,High,Postgraduate,27.0,5,Positive,Medium,Yes,2,Poor,77
6,85,69,0,9,Low,,Public,No,High,Medium,Graduate,,5,Negative,High,Yes,4,Good,84
5,77,92,2,9,Medium,,Private,No,High,Medium,Graduate,12.0,1,Negative,High,No,2,Average,88
6,85,45,0,9,Low,Good,Public,Yes,Medium,High,Graduate,25.0,0,Neutral,High,Yes,4,Poor,69
5,95,35,0,7,High,Average,Public,Yes,High,High,School,27.0,4,Neutral,Medium,No,2,Good,69
8,96,32,4,5,High,Good,Private,Yes,High,Low,Graduate,11.0,1,Neutral,Low,No,5,Good,75
1,93,43,1,8,Medium,Average,Public,Yes,High,Low,Graduate,20.0,4,Neutral,Low,Yes,5,Average,61
11,83,95,0,6,Low,Poor,Public,Yes,Low,Low,Postgraduate,26.0,5,Neutral,High,Yes,4,Poor,95
7,50,96,2,8,High,Average,Private,Yes,Medium,Medium,School,19.0,2,Neutral,High,No,3,Good,89
10,68,60,4,6,High,Poor,Private,No,High,High,School,25.0,2,Neutral,High,Yes,3,Average,78
10,70,62,2,3,Low,Poor,Public,Yes,High,Low,Graduate,4.0,1,Neutral,Medium,No,5,Good,72
11,64,30,1,3,High,Poor,Private,Yes,High,Low,Postgraduate,17.0,6,Neutral,High,Yes,1,Good,62
2,91,73,3,4,High,Average,Public,No,Low,Medium,Graduate,18.0,4,Positive,Medium,Yes,1,Good,73
9,93,44,1,3,Medium,Poor,Public,Yes,Medium,Low,School,4.0,5,Negative,Low,No,3,Poor,70
1,63,66,4,3,High,Average,Public,No,Medium,High,,27.0,1,Positive,Medium,Yes,4,Poor,61
11,96,56,1,5,Low,Poor,Public,Yes,High,High,School,1.0,5,Positive,High,No,3,Poor,83
10,58,77,1,9,High,Poor,Private,Yes,Medium,Low,,6.0,3,Neutral,Medium,Yes,5,Poor,83
6,41,56,4,7,Medium,Good,Private,No,Low,High,,7.0,1,Neutral,Medium,Yes,4,Average,60
9,61,41,4,4,High,Average,Private,Yes,High,Low,School,1.0,5,Neutral,Medium,Yes,5,Good,64
1,59,96,2,5,Low,Good,Public,Yes,Medium,Low,School,6.0,3,Positive,Medium,No,3,Good,72
4,72,59,0,4,High,Poor,Public,No,High,High,Postgraduate,3.0,2,Neutral,Medium,Yes,3,Good,69
4,47,95,3,7,Low,Good,Public,Yes,Low,High,Postgraduate,,0,Neutral,Medium,Yes,5,Good,77
9,64,36,3,4,Medium,Poor,Private,Yes,High,Medium,School,,2,Negative,Low,Yes,4,Poor,55
11,85,63,3,8,High,Good,Public,Yes,Low,Medium,,27.0,0,Neutral,Low,Yes,4,Poor,95
5,48,61,1,8,High,Good,Public,Yes,High,Low,Graduate,2.0,4,Negative,Low,Yes,2,Good,62
5,73,68,4,8,Medium,Average,Public,No,High,High,School,,0,Positive,High,Yes,5,Poor,72
6,96,72,4,3,Low,Average,Private,No,Medium,Low,Postgraduate,11.0,4,Negative,Low,No,3,Poor,78
1,62,72,4,7,Low,Good,Public,No,Medium,Medium,Graduate,20.0,3,Neutral,High,No,5,Poor,61
1,44,32,0,5,High,Good,Public,No,Low,Low,Postgraduate,11.0,4,Neutral,Low,Yes,5,Poor,42
9,94,75,4,5,Low,Average,Private,No,Low,High,Postgraduate,8.0,1,Negative,Medium,No,1,Good,85
3,64,61,4,6,Low,,Private,Yes,Low,High,Graduate,19.0,1,Negative,Medium,Yes,2,Average,59
4,47,72,1,5,High,Poor,Public,Yes,Medium,Medium,Graduate,24.0,5,Neutral,Low,Yes,4,Good,62
1,55,32,2,9,Low,Poor,Public,No,High,Low,Postgraduate,23.0,1,Negative,Low,No,1,Average,46
9,93,92,3,8,Low,Poor,Private,No,Low,Low,Graduate,21.0,2,Negative,High,Yes,2,Good,95
8,87,69,1,9,High,Good,Private,Yes,High,High,School,15.0,6,Neutral,High,No,1,Average,90
2,84,47,1,9,High,,Private,No,High,Medium,Graduate,28.0,5,Positive,High,Yes,2,Poor,60
8,91,96,1,8,Low,Good,Public,No,Medium,High,Postgraduate,20.0,1,Positive,Medium,No,2,Poor,95
7,54,91,3,6,High,Good,Private,Yes,Medium,High,,14.0,4,Neutral,Low,No,5,Good,83
11,40,39,1,3,Low,Poor,Public,Yes,High,Medium,Postgraduate,26.0,4,Negative,High,Yes,2,Average,55
6,61,81,2,5,Low,,Private,No,Low,High,Postgraduate,26.0,4,Positive,Low,No,3,Average,73
1,42,75,4,7,Low,Poor,Public,No,Medium,Low,Postgraduate,18.0,1,Negative,Low,Yes,3,Good,49
7,77,84,2,6,Low,Average,Public,Yes,High,Low,Postgraduate,,5,Neutral,Low,Yes,3,Poor,80
10,93,75,4,5,High,Good,Private,No,Medium,Low,School,20.0,3,Negative,Medium,No,3,Poor,95
7,53,89,4,3,High,Poor,Private,No,High,High,Postgraduate,5.0,3,Positive,Medium,Yes,1,Average,76
9,75,55,1,9,Medium,Average,Public,Yes,Medium,Medium,Postgraduate,2.0,2,Negative,High,Yes,4,Average,76
1,57,56,1,7,High,Good,Private,No,Low,Medium,School,2.0,4,Positive,Low,Yes,4,Average,57
2,86,67,3,7,Medium,Good,Public,No,Low,Medium,Postgraduate,2.0,4,Negative,High,Yes,2,Poor,74
11,80,51,0,9,Low,Good,Public,No,Medium,Medium,Postgraduate,26.0,2,Positive,Low,No,4,Good,81
9,57,55,2,3,High,Poor,Private,Yes,Medium,Medium,School,2.0,4,Negative,Low,Yes,1,Average,65
9,42,98,3,5,Low,,Public,Yes,Medium,High,Graduate,,0,Positive,Low,Yes,3,Average,77
6,49,64,3,9,Medium,Good,Private,Yes,Low,Medium,Graduate,29.0,5,Positive,Medium,No,3,Good,68
6,88,95,2,4,High,Good,Public,No,Medium,Low,Postgraduate,,2,Neutral,Medium,No,3,Poor,92
4,78,80,2,5,High,Average,Public,No,Low,High,Graduate,21.0,6,Negative,Low,No,4,Average,77
4,86,47,4,9,High,Average,Private,No,Medium,Low,Graduate,27.0,4,Positive,High,No,4,Poor,63
5,40,72,0,9,High,Good,Public,Yes,Medium,Medium,School,22.0,2,Negative,High,Yes,5,Average,67
3,66,41,1,6,Low,Average,Public,No,High,Medium,Graduate,20.0,0,Negative,Medium,Yes,5,Good,52
1,96,32,0,6,High,Good,Public,Yes,Low,Low,Postgraduate,,0,Neutral,Low,Yes,4,Good,57
1,66,36,0,5,Medium,Average,Private,No,Medium,Low,School,3.0,5,Positive,Medium,Yes,3,Average,45
7,50,35,1,8,High,Good,Private,No,Low,High,Graduate,19.0,1,Positive,High,Yes,4,Good,61
1,88,74,0,6,Medium,,Public,Yes,High,Medium,Postgraduate,16.0,4,Negative,High,No,1,Good,73
1,44,68,3,4,Medium,Good,Public,No,Low,Medium,School,11.0,6,Neutral,Medium,No,5,Average,51
3,46,80,3,8,Low,Poor,Public,No,Low,Medium,Postgraduate,27.0,6,Positive,Low,Yes,3,Average,65
10,58,38,1,4,High,Good,Private,Yes,Low,Low,Graduate,26.0,5,Positive,Medium,Yes,5,Poor,66
4,96,52,1,7,Medium,Poor,Public,No,Low,Medium,Postgraduate,24.0,0,Negative,Medium,No,2,Poor,67
4,95,41,2,6,High,Average,Public,No,Low,High,Graduate,,0,Positive,Medium,No,2,Poor,63
2,68,91,2,9,Low,Poor,Private,No,Low,High,Graduate,15.0,5,Negative,Low,Yes,2,Poor,79
1,54,69,0,8,Low,Average,Private,No,Low,Low,Graduate,22.0,0,Positive,Low,Yes,4,Good,58
3,74,83,0,5,High,Good,Public,Yes,Medium,Low,Graduate,11.0,1,Positive,High,Yes,5,Poor,85
11,86,36,1,8,Medium,Average,Private,No,Medium,High,Graduate,29.0,4,Neutral,Low,Yes,1,Average,65
4,76,46,0,9,Low,Average,Public,Yes,Low,Low,School,,2,Positive,Low,Yes,5,Average,63
3,94,79,4,7,Medium,Average,Private,No,Low,Low,Graduate,27.0,1,Positive,Low,No,3,Poor,80
8,51,53,3,4,Medium,Good,Private,No,Medium,Medium,School,24.0,4,Neutral,Medium,No,4,Average,62
10,69,31,0,7,High,Poor,Private,No,High,High,Postgraduate,19.0,0,Positive,High,No,5,Poor,60
1,59,62,0,3,Low,Average,Private,Yes,Medium,Medium,Postgraduate,23.0,1,Negative,High,No,4,Average,55
2,76,50,2,6,High,Good,Public,No,High,High,School,5.0,3,Negative,Medium,Yes,4,Average,66
